Interest,Skill_Level,Aptitude,Personality,Career,Education_Level,Preferred_Work_Type
Design,High,73,Introvert,Graphic Designer,Bachelor,Onsite
Teaching,High,55,Introvert,Professor,High School,Onsite
Finance,Low,61,Extrovert,Chartered Accountant,High School,Onsite
Business,Low,75,Analytical,MBA,Bachelor,Onsite
Finance,Low,84,Creative,Financial Analyst,Bachelor,Remote
Arts,Low,52,Introvert,Artist,High School,Remote
Arts,Medium,62,Creative,Content Creator,High School,Remote
Finance,Low,60,Introvert,Chartered Accountant,Bachelor,Onsite
Teaching,High,74,Creative,Professor,Bachelor,Hybrid
Business,Low,72,Extrovert,MBA,Bachelor,Onsite
Healthcare,High,55,Extrovert,Doctor,Bachelor,Onsite
Business,Medium,78,Extrovert,MBA,Master,Onsite
Healthcare,High,88,Extrovert,Nurse,Master,Remote
Teaching,Low,61,Introvert,Professor,Bachelor,Hybrid
Coding,Low,96,Extrovert,Data Scientist,Master,Remote
Teaching,Medium,81,Introvert,Teacher,Master,Remote
Business,Low,89,Analytical,MBA,Bachelor,Onsite
Design,Low,82,Creative,UI/UX Designer,High School,Hybrid
Arts,Medium,71,Analytical,Artist,Bachelor,Remote
Teaching,Low,85,Extrovert,Teacher,High School,Hybrid
Teaching,Low,83,Extrovert,Teacher,Master,Onsite
Arts,High,88,Extrovert,Artist,High School,Remote
Coding,Medium,55,Extrovert,AI Engineer,High School,Onsite
Business,Medium,63,Introvert,Marketing Manager,Master,Hybrid
Finance,High,69,Analytical,Financial Analyst,Master,Onsite
Coding,High,57,Introvert,Software Developer,Bachelor,Hybrid
Teaching,Low,58,Creative,Professor,Master,Remote
Business,Low,93,Creative,MBA,Master,Remote
Arts,Medium,76,Creative,Content Creator,High School,Remote
Design,Medium,66,Extrovert,UI/UX Designer,Master,Remote
Design,Medium,99,Analytical,Graphic Designer,Bachelor,Onsite
Business,Low,88,Creative,Marketing Manager,Bachelor,Onsite
Design,Low,66,Creative,UI/UX Designer,Bachelor,Remote
Arts,Low,75,Creative,Artist,Bachelor,Hybrid
Arts,Medium,81,Introvert,Artist,Master,Remote
Teaching,Low,58,Extrovert,Professor,Master,Onsite
Business,Low,86,Extrovert,MBA,High School,Hybrid
Finance,Low,83,Creative,Chartered Accountant,Master,Remote
Teaching,Medium,80,Creative,Professor,Master,Remote
Business,Medium,55,Introvert,MBA,Bachelor,Remote
Business,High,66,Extrovert,MBA,Master,Onsite
Design,Medium,100,Extrovert,UI/UX Designer,High School,Remote
Design,Low,69,Extrovert,UI/UX Designer,Master,Onsite
Coding,Medium,77,Extrovert,Software Developer,High School,Onsite
Arts,Low,79,Extrovert,Artist,Bachelor,Hybrid
Healthcare,Medium,71,Analytical,Doctor,Master,Hybrid
Healthcare,High,52,Extrovert,Doctor,High School,Onsite
Finance,Medium,86,Analytical,Chartered Accountant,Master,Hybrid
Teaching,High,76,Creative,Teacher,Bachelor,Remote
Finance,Low,70,Analytical,Financial Analyst,High School,Onsite
Arts,Medium,83,Analytical,Artist,High School,Remote
Healthcare,High,67,Introvert,Doctor,Bachelor,Hybrid
Coding,Low,97,Introvert,Data Scientist,Master,Onsite
Finance,Medium,95,Analytical,Financial Analyst,Bachelor,Onsite
Finance,High,87,Creative,Chartered Accountant,High School,Remote
Business,High,88,Extrovert,MBA,High School,Remote
Teaching,High,94,Creative,Professor,Bachelor,Hybrid
Design,High,59,Creative,Graphic Designer,Master,Onsite
Teaching,Medium,86,Extrovert,Professor,High School,Onsite
Business,Medium,80,Extrovert,MBA,Bachelor,Remote
Teaching,Low,77,Extrovert,Teacher,Bachelor,Remote
Business,High,88,Introvert,MBA,Master,Hybrid
Business,Low,79,Extrovert,Marketing Manager,High School,Onsite
Healthcare,Medium,79,Analytical,Nurse,High School,Hybrid
Arts,High,73,Creative,Content Creator,High School,Hybrid
Healthcare,Low,80,Creative,Nurse,High School,Onsite
Arts,Low,96,Creative,Content Creator,Bachelor,Onsite
Coding,High,73,Analytical,AI Engineer,Bachelor,Onsite
Design,Low,59,Analytical,Graphic Designer,High School,Remote
Coding,Medium,51,Analytical,Software Developer,Master,Remote
Finance,Medium,50,Creative,Financial Analyst,High School,Hybrid
Teaching,High,85,Extrovert,Teacher,Master,Hybrid
Design,Medium,54,Extrovert,Graphic Designer,Bachelor,Remote
Coding,Medium,69,Analytical,Software Developer,Master,Onsite
Design,High,75,Introvert,UI/UX Designer,Bachelor,Remote
Healthcare,Medium,65,Extrovert,Nurse,Bachelor,Onsite
Coding,High,79,Extrovert,AI Engineer,High School,Remote
Business,Medium,97,Extrovert,Marketing Manager,Bachelor,Remote
Finance,High,69,Introvert,Financial Analyst,High School,Onsite
Design,Low,64,Introvert,Graphic Designer,Master,Hybrid
Design,High,65,Creative,Graphic Designer,Bachelor,Onsite
Arts,Low,91,Analytical,Artist,Bachelor,Hybrid
Coding,Low,90,Introvert,Software Developer,High School,Remote
Design,Low,100,Creative,UI/UX Designer,High School,Remote
Finance,High,59,Extrovert,Chartered Accountant,High School,Hybrid
Arts,Low,81,Introvert,Content Creator,Master,Hybrid
Design,Low,86,Introvert,UI/UX Designer,Bachelor,Onsite
Teaching,High,95,Analytical,Professor,High School,Onsite
Design,Medium,56,Creative,Graphic Designer,Master,Hybrid
Business,Low,57,Creative,MBA,High School,Hybrid
Arts,High,74,Introvert,Artist,High School,Onsite
Healthcare,Low,52,Analytical,Doctor,High School,Onsite
Finance,High,89,Introvert,Financial Analyst,Master,Hybrid
Design,High,74,Introvert,Graphic Designer,Bachelor,Remote
Healthcare,Low,99,Extrovert,Nurse,Master,Hybrid
Coding,Low,75,Creative,AI Engineer,Bachelor,Remote
Arts,Medium,90,Creative,Artist,High School,Onsite
Healthcare,Medium,64,Introvert,Nurse,Bachelor,Onsite
Business,Medium,62,Creative,MBA,Bachelor,Hybrid
Teaching,Low,96,Creative,Teacher,High School,Remote
Finance,Low,87,Analytical,Financial Analyst,High School,Onsite
Design,Low,56,Introvert,Graphic Designer,Master,Hybrid
Coding,High,50,Extrovert,Software Developer,Bachelor,Remote
Coding,Medium,97,Analytical,AI Engineer,Bachelor,Hybrid
Business,Low,80,Creative,Marketing Manager,Master,Hybrid
Finance,Medium,76,Extrovert,Financial Analyst,High School,Hybrid
Business,High,68,Creative,MBA,High School,Hybrid
Finance,Medium,76,Analytical,Chartered Accountant,Master,Remote
Finance,Low,91,Introvert,Chartered Accountant,Bachelor,Onsite
Arts,Low,71,Extrovert,Artist,Bachelor,Onsite
Business,Medium,91,Extrovert,Marketing Manager,High School,Onsite
Finance,Medium,91,Introvert,Chartered Accountant,Master,Hybrid
Design,Low,89,Extrovert,Graphic Designer,High School,Hybrid
Coding,Medium,94,Extrovert,Software Developer,Bachelor,Onsite
Coding,Low,54,Introvert,Data Scientist,Bachelor,Onsite
Teaching,Low,86,Introvert,Professor,High School,Onsite
Teaching,High,78,Analytical,Professor,Master,Onsite
Arts,Medium,93,Analytical,Content Creator,High School,Remote
Finance,Medium,95,Analytical,Chartered Accountant,Bachelor,Onsite
Business,Low,50,Creative,MBA,Master,Remote
Coding,Low,83,Analytical,AI Engineer,High School,Hybrid
Arts,Medium,81,Introvert,Artist,Bachelor,Remote
Teaching,High,63,Creative,Professor,High School,Onsite
Finance,Low,71,Introvert,Financial Analyst,Master,Remote
Design,Low,100,Creative,UI/UX Designer,Bachelor,Onsite
Design,Medium,71,Creative,Graphic Designer,Bachelor,Hybrid
Teaching,Low,89,Analytical,Professor,High School,Remote
Design,Low,68,Extrovert,UI/UX Designer,Master,Onsite
Teaching,High,82,Extrovert,Teacher,Bachelor,Onsite
Teaching,High,72,Introvert,Teacher,Bachelor,Hybrid
Finance,High,75,Extrovert,Chartered Accountant,Bachelor,Remote
Teaching,Low,69,Extrovert,Professor,Bachelor,Hybrid
Business,Medium,56,Creative,Marketing Manager,Bachelor,Remote
Teaching,Low,86,Creative,Teacher,Bachelor,Remote
Teaching,High,92,Analytical,Professor,High School,Remote
Design,Low,83,Analytical,Graphic Designer,Master,Hybrid
Healthcare,High,77,Creative,Doctor,High School,Onsite
Design,High,76,Extrovert,Graphic Designer,High School,Onsite
Design,High,60,Extrovert,UI/UX Designer,Bachelor,Hybrid
Coding,Low,73,Analytical,Software Developer,High School,Hybrid
Design,Low,89,Creative,UI/UX Designer,High School,Onsite
Design,Low,80,Analytical,Graphic Designer,Master,Remote
Finance,Medium,60,Analytical,Chartered Accountant,High School,Remote
Finance,High,97,Creative,Chartered Accountant,High School,Remote
Arts,Low,69,Introvert,Content Creator,High School,Hybrid
Design,Medium,82,Introvert,Graphic Designer,Bachelor,Onsite
Design,Medium,70,Creative,UI/UX Designer,Master,Remote
Finance,Medium,95,Introvert,Chartered Accountant,High School,Onsite
Arts,Medium,63,Analytical,Content Creator,Master,Onsite
Business,High,88,Creative,MBA,High School,Onsite
Teaching,High,76,Analytical,Professor,Bachelor,Remote
Business,High,80,Introvert,MBA,High School,Onsite
Teaching,High,98,Extrovert,Professor,High School,Remote
Finance,Low,85,Extrovert,Chartered Accountant,Bachelor,Hybrid
Healthcare,High,68,Introvert,Nurse,Master,Onsite
Design,Medium,59,Introvert,UI/UX Designer,Master,Onsite
Coding,High,99,Analytical,Software Developer,Master,Onsite
Teaching,High,98,Introvert,Teacher,Master,Onsite
Healthcare,Low,91,Creative,Doctor,Bachelor,Remote
Finance,Medium,67,Extrovert,Financial Analyst,High School,Remote
Coding,High,56,Introvert,Software Developer,Bachelor,Onsite
Arts,High,57,Analytical,Artist,Master,Remote
Healthcare,Low,82,Introvert,Nurse,High School,Hybrid
Business,Low,94,Introvert,Marketing Manager,Bachelor,Remote
Teaching,High,89,Introvert,Professor,Master,Remote
Design,High,52,Analytical,UI/UX Designer,High School,Hybrid
Teaching,Low,85,Extrovert,Professor,Bachelor,Remote
Business,High,67,Analytical,MBA,Bachelor,Hybrid
Finance,High,96,Analytical,Financial Analyst,Bachelor,Remote
Design,Low,55,Extrovert,UI/UX Designer,Bachelor,Onsite
Teaching,Medium,64,Introvert,Teacher,Bachelor,Hybrid
Finance,High,88,Analytical,Financial Analyst,Master,Remote
Healthcare,Medium,75,Extrovert,Nurse,Bachelor,Hybrid
Teaching,Low,87,Analytical,Teacher,Bachelor,Hybrid
Finance,Low,99,Extrovert,Chartered Accountant,High School,Hybrid
Coding,Medium,58,Creative,Data Scientist,Bachelor,Hybrid
Arts,Low,72,Creative,Artist,High School,Onsite
Business,High,62,Introvert,Marketing Manager,Master,Hybrid
Arts,High,58,Creative,Content Creator,Bachelor,Remote
Business,Medium,73,Analytical,Marketing Manager,Master,Remote
Teaching,Low,87,Analytical,Teacher,High School,Onsite
Finance,Medium,87,Introvert,Chartered Accountant,Bachelor,Hybrid
Teaching,Medium,61,Extrovert,Teacher,High School,Hybrid
Healthcare,High,73,Creative,Doctor,Bachelor,Hybrid
Arts,High,93,Creative,Artist,Master,Remote
Business,Medium,94,Creative,Marketing Manager,High School,Remote
Finance,Low,82,Creative,Financial Analyst,Bachelor,Onsite
Coding,High,59,Analytical,Data Scientist,Master,Hybrid
Finance,High,94,Extrovert,Financial Analyst,Master,Onsite
Healthcare,Low,72,Creative,Doctor,Bachelor,Hybrid
Finance,Low,97,Introvert,Financial Analyst,Master,Onsite
Business,Low,87,Introvert,MBA,High School,Remote
Healthcare,Low,61,Extrovert,Nurse,Master,Onsite
Finance,Medium,94,Creative,Chartered Accountant,Master,Remote
Arts,Medium,88,Introvert,Content Creator,High School,Remote
Healthcare,Low,96,Introvert,Nurse,Master,Onsite
Teaching,Low,63,Analytical,Professor,Bachelor,Hybrid
Business,High,81,Introvert,Marketing Manager,Master,Remote
Finance,Low,87,Extrovert,Financial Analyst,High School,Remote
Finance,High,64,Creative,Financial Analyst,Master,Remote
Arts,Medium,65,Introvert,Content Creator,Bachelor,Remote
Design,High,64,Extrovert,UI/UX Designer,Bachelor,Hybrid
Business,Medium,96,Analytical,MBA,Master,Onsite
Arts,Low,60,Creative,Artist,High School,Hybrid
Arts,High,97,Extrovert,Content Creator,High School,Onsite
Business,High,80,Extrovert,MBA,Bachelor,Hybrid
Coding,Low,75,Creative,Data Scientist,Master,Onsite
Arts,Low,75,Analytical,Artist,Master,Hybrid
Coding,Low,64,Extrovert,Data Scientist,Master,Remote
Finance,High,79,Extrovert,Chartered Accountant,Master,Hybrid
Business,High,71,Creative,MBA,Master,Hybrid
Finance,High,54,Creative,Chartered Accountant,High School,Remote
Healthcare,Low,60,Analytical,Doctor,Master,Onsite
Finance,High,59,Extrovert,Financial Analyst,Bachelor,Onsite
Business,High,81,Creative,MBA,Master,Remote
Coding,Medium,76,Introvert,Data Scientist,Bachelor,Remote
Healthcare,Medium,85,Extrovert,Doctor,Master,Remote
Finance,Low,71,Creative,Chartered Accountant,Bachelor,Onsite
Business,Low,72,Creative,MBA,Master,Remote
Arts,Low,95,Analytical,Content Creator,Bachelor,Hybrid
Finance,Low,88,Extrovert,Chartered Accountant,Bachelor,Onsite
Coding,High,94,Introvert,AI Engineer,Master,Remote
Finance,High,78,Creative,Chartered Accountant,High School,Onsite
Arts,Low,53,Creative,Content Creator,High School,Remote
Finance,Low,68,Extrovert,Financial Analyst,Master,Onsite
Finance,High,63,Analytical,Financial Analyst,High School,Onsite
Coding,Low,77,Introvert,Software Developer,Master,Onsite
Finance,Medium,82,Creative,Financial Analyst,High School,Remote
Coding,Medium,69,Introvert,AI Engineer,Bachelor,Remote
Finance,High,50,Creative,Chartered Accountant,Bachelor,Hybrid
Arts,High,51,Creative,Content Creator,Bachelor,Onsite
Teaching,Medium,65,Analytical,Teacher,High School,Onsite
Finance,Medium,96,Introvert,Chartered Accountant,Bachelor,Onsite
Finance,High,61,Extrovert,Financial Analyst,High School,Remote
Arts,High,62,Analytical,Artist,Bachelor,Onsite
Arts,Medium,70,Creative,Artist,Master,Onsite
Design,Medium,64,Extrovert,UI/UX Designer,Bachelor,Remote
Finance,Low,99,Introvert,Financial Analyst,Bachelor,Onsite
Coding,High,54,Introvert,Software Developer,Master,Remote
Coding,High,100,Creative,Software Developer,High School,Onsite
Business,Low,93,Introvert,Marketing Manager,Bachelor,Remote
Design,Medium,54,Creative,UI/UX Designer,Master,Hybrid
Design,Low,82,Analytical,Graphic Designer,Master,Hybrid
Teaching,Medium,73,Analytical,Teacher,Master,Hybrid
Healthcare,Medium,54,Extrovert,Doctor,Master,Onsite
Design,Low,56,Creative,UI/UX Designer,Master,Hybrid
Coding,High,55,Creative,AI Engineer,Master,Remote
Business,Low,61,Introvert,MBA,High School,Remote
Teaching,Medium,90,Extrovert,Teacher,High School,Hybrid
Arts,Low,52,Introvert,Artist,Bachelor,Remote
Teaching,Medium,53,Analytical,Professor,High School,Remote
Healthcare,Medium,69,Analytical,Nurse,Bachelor,Onsite
Finance,Low,65,Analytical,Chartered Accountant,Bachelor,Remote
Design,Low,91,Extrovert,Graphic Designer,High School,Hybrid
Design,Low,74,Extrovert,Graphic Designer,High School,Hybrid
Design,Medium,99,Creative,Graphic Designer,Master,Hybrid
Finance,High,96,Creative,Financial Analyst,Master,Remote
Design,High,95,Analytical,UI/UX Designer,High School,Onsite
Coding,High,69,Creative,AI Engineer,Bachelor,Remote
Teaching,Low,98,Extrovert,Teacher,Master,Onsite
Teaching,Medium,68,Extrovert,Teacher,Master,Onsite
Teaching,Low,80,Introvert,Professor,Master,Onsite
Teaching,High,56,Analytical,Professor,Master,Onsite
Coding,Low,99,Analytical,AI Engineer,Bachelor,Remote
Business,Medium,99,Creative,MBA,Bachelor,Hybrid
Coding,Low,87,Analytical,AI Engineer,Master,Remote
Healthcare,High,72,Creative,Doctor,Master,Remote
Design,Medium,58,Introvert,UI/UX Designer,Master,Remote
Design,High,50,Analytical,UI/UX Designer,High School,Remote
Healthcare,Medium,87,Extrovert,Doctor,Master,Onsite
Finance,Low,55,Extrovert,Financial Analyst,High School,Onsite
Healthcare,Low,90,Analytical,Nurse,Master,Remote
Arts,Medium,92,Extrovert,Content Creator,Bachelor,Hybrid
Finance,Medium,68,Creative,Chartered Accountant,Master,Onsite
Coding,High,88,Analytical,Data Scientist,Master,Remote
Healthcare,High,59,Extrovert,Nurse,Master,Remote
Coding,High,90,Introvert,AI Engineer,High School,Onsite
Arts,Medium,60,Analytical,Content Creator,Master,Onsite
Finance,Medium,94,Creative,Financial Analyst,High School,Hybrid
Healthcare,Medium,80,Analytical,Nurse,Master,Onsite
Coding,Medium,50,Creative,AI Engineer,Bachelor,Onsite
Design,Low,83,Analytical,Graphic Designer,High School,Remote
Teaching,Medium,92,Introvert,Professor,High School,Remote
Design,Low,88,Analytical,Graphic Designer,Master,Remote
Teaching,Low,62,Analytical,Teacher,Bachelor,Hybrid
Design,Medium,54,Creative,Graphic Designer,Bachelor,Onsite
Business,Low,50,Extrovert,Marketing Manager,High School,Onsite
Healthcare,Medium,72,Creative,Doctor,Master,Remote
Arts,Medium,63,Introvert,Artist,High School,Onsite
Design,Medium,97,Introvert,UI/UX Designer,Bachelor,Hybrid
Design,Low,70,Extrovert,Graphic Designer,Master,Remote
Healthcare,Low,67,Extrovert,Doctor,High School,Remote
Coding,Low,64,Analytical,Data Scientist,High School,Onsite
Design,High,64,Analytical,UI/UX Designer,Bachelor,Onsite
Business,Low,60,Analytical,Marketing Manager,Bachelor,Remote
Design,Medium,95,Creative,UI/UX Designer,Master,Onsite
Teaching,High,70,Creative,Teacher,Bachelor,Remote
Business,Medium,85,Analytical,MBA,High School,Remote
Arts,Medium,100,Extrovert,Artist,Bachelor,Hybrid
Arts,Low,55,Creative,Content Creator,Bachelor,Hybrid
Teaching,High,94,Extrovert,Professor,Master,Onsite
Teaching,Medium,86,Creative,Professor,High School,Onsite
Teaching,Low,100,Creative,Teacher,Master,Remote
Arts,Low,93,Introvert,Content Creator,Master,Hybrid
Teaching,Medium,75,Introvert,Professor,Bachelor,Hybrid
Design,Medium,56,Creative,Graphic Designer,Master,Onsite
Finance,High,55,Extrovert,Financial Analyst,Bachelor,Hybrid
Business,High,83,Extrovert,Marketing Manager,Bachelor,Onsite
Healthcare,Low,80,Introvert,Doctor,Bachelor,Remote
Arts,Low,54,Analytical,Content Creator,Master,Hybrid
Teaching,Medium,53,Introvert,Teacher,Master,Hybrid
Healthcare,Low,97,Analytical,Doctor,High School,Hybrid
Coding,High,97,Analytical,Data Scientist,Bachelor,Hybrid
Teaching,Low,96,Creative,Professor,Bachelor,Remote
Finance,Medium,97,Extrovert,Chartered Accountant,High School,Remote
Business,Low,55,Analytical,MBA,Bachelor,Hybrid
Healthcare,Medium,96,Introvert,Nurse,High School,Onsite
Finance,High,57,Introvert,Financial Analyst,Bachelor,Onsite
Teaching,Medium,77,Analytical,Professor,High School,Hybrid
Coding,High,66,Introvert,Software Developer,High School,Remote
Healthcare,High,72,Extrovert,Nurse,High School,Remote
Teaching,High,53,Creative,Professor,Bachelor,Onsite
Healthcare,Medium,55,Creative,Nurse,Master,Hybrid
Arts,Medium,71,Extrovert,Artist,Bachelor,Hybrid
Arts,High,82,Creative,Artist,High School,Onsite
Business,High,95,Extrovert,MBA,Master,Onsite
Finance,Low,63,Extrovert,Chartered Accountant,Bachelor,Remote
Arts,Medium,54,Extrovert,Artist,Master,Onsite
Business,High,73,Analytical,MBA,High School,Hybrid
Teaching,Medium,61,Creative,Teacher,Master,Remote
Design,Medium,55,Analytical,Graphic Designer,Bachelor,Onsite
Business,High,74,Introvert,Marketing Manager,Master,Onsite
Finance,Low,50,Creative,Financial Analyst,Bachelor,Onsite
Healthcare,Low,85,Creative,Doctor,Master,Onsite
Coding,High,69,Creative,Software Developer,High School,Hybrid
Finance,Low,58,Analytical,Financial Analyst,Bachelor,Onsite
Finance,Low,98,Analytical,Chartered Accountant,Bachelor,Hybrid
Design,High,75,Introvert,Graphic Designer,High School,Onsite
Healthcare,High,88,Analytical,Doctor,Master,Hybrid
Design,Medium,89,Creative,Graphic Designer,High School,Hybrid
Design,High,83,Analytical,Graphic Designer,Bachelor,Hybrid
Coding,Medium,90,Introvert,AI Engineer,Bachelor,Hybrid
Coding,Low,86,Introvert,Software Developer,Bachelor,Remote
Arts,Low,57,Analytical,Artist,Master,Onsite
Arts,High,66,Extrovert,Content Creator,High School,Onsite
Business,Low,99,Creative,MBA,Bachelor,Onsite
Finance,Medium,76,Introvert,Chartered Accountant,Master,Hybrid
Teaching,Low,95,Analytical,Professor,Bachelor,Onsite
Healthcare,Medium,81,Introvert,Nurse,Master,Hybrid
Healthcare,High,54,Introvert,Nurse,Bachelor,Onsite
Coding,High,80,Creative,Software Developer,Bachelor,Onsite
Finance,High,78,Creative,Financial Analyst,Bachelor,Remote
Finance,Low,94,Introvert,Chartered Accountant,Bachelor,Onsite
Teaching,Low,78,Creative,Professor,High School,Hybrid
Design,Medium,60,Extrovert,UI/UX Designer,Master,Hybrid
Teaching,Low,64,Creative,Professor,High School,Onsite
Healthcare,High,86,Creative,Nurse,Bachelor,Onsite
Coding,High,60,Analytical,Software Developer,Master,Onsite
Teaching,Low,87,Creative,Professor,Bachelor,Onsite
Arts,High,76,Analytical,Content Creator,Bachelor,Hybrid
Arts,High,85,Introvert,Artist,Bachelor,Onsite
Design,Medium,50,Creative,UI/UX Designer,Bachelor,Onsite
Arts,High,96,Creative,Content Creator,High School,Hybrid
Teaching,Medium,72,Introvert,Teacher,Bachelor,Hybrid
Business,Medium,56,Introvert,Marketing Manager,Master,Hybrid
Design,Low,75,Introvert,Graphic Designer,High School,Remote
Healthcare,Low,64,Analytical,Nurse,High School,Hybrid
Coding,Medium,94,Extrovert,Data Scientist,Master,Remote
Arts,Low,87,Creative,Content Creator,High School,Remote
Design,Low,60,Introvert,Graphic Designer,High School,Onsite
Teaching,Medium,70,Creative,Professor,High School,Remote
Healthcare,Medium,90,Analytical,Doctor,High School,Remote
Finance,Low,73,Introvert,Chartered Accountant,High School,Hybrid
Design,Medium,85,Extrovert,UI/UX Designer,Master,Hybrid
Coding,High,92,Analytical,Data Scientist,Master,Hybrid
Business,High,88,Creative,MBA,High School,Hybrid
Arts,Medium,86,Extrovert,Artist,Master,Remote
Arts,High,56,Creative,Content Creator,Master,Onsite
Coding,High,95,Creative,AI Engineer,Bachelor,Hybrid
Arts,Medium,68,Introvert,Artist,Master,Remote
Coding,High,80,Analytical,Data Scientist,Bachelor,Hybrid
Arts,Medium,74,Analytical,Artist,Master,Hybrid
Coding,Medium,76,Extrovert,AI Engineer,Bachelor,Remote
Finance,Low,82,Introvert,Financial Analyst,Bachelor,Onsite
Business,Low,61,Creative,MBA,Master,Remote
Arts,Medium,70,Analytical,Artist,Bachelor,Onsite
Finance,Low,96,Analytical,Chartered Accountant,Master,Hybrid
Business,High,76,Creative,Marketing Manager,Bachelor,Hybrid
Design,Low,79,Analytical,UI/UX Designer,Master,Remote
Teaching,High,53,Analytical,Teacher,High School,Hybrid
Teaching,Low,100,Extrovert,Teacher,High School,Onsite
Arts,Medium,52,Analytical,Content Creator,Bachelor,Remote
Arts,Low,100,Creative,Artist,High School,Hybrid
Healthcare,Medium,53,Analytical,Doctor,High School,Hybrid
Finance,Low,73,Extrovert,Financial Analyst,High School,Onsite
Teaching,Low,52,Analytical,Professor,Master,Onsite
Teaching,Low,51,Extrovert,Professor,High School,Remote
Business,Low,94,Introvert,MBA,Master,Remote
Teaching,Low,84,Creative,Professor,Master,Remote
Teaching,High,58,Creative,Professor,Bachelor,Onsite
Finance,High,66,Creative,Chartered Accountant,Bachelor,Hybrid
Healthcare,Medium,83,Introvert,Doctor,High School,Remote
Finance,Medium,63,Introvert,Chartered Accountant,Bachelor,Onsite
Healthcare,Medium,59,Introvert,Doctor,Bachelor,Onsite
Arts,Medium,97,Creative,Content Creator,Bachelor,Hybrid
Business,Low,64,Creative,MBA,Master,Hybrid
Teaching,High,66,Creative,Teacher,High School,Hybrid
Design,Medium,60,Extrovert,Graphic Designer,Master,Hybrid
Arts,High,57,Creative,Artist,Master,Hybrid
Design,High,93,Analytical,Graphic Designer,Master,Remote
Design,Low,59,Analytical,UI/UX Designer,Master,Onsite
Healthcare,Medium,65,Extrovert,Doctor,Master,Onsite
Business,Medium,81,Introvert,MBA,Bachelor,Remote
Arts,Medium,90,Extrovert,Content Creator,Bachelor,Hybrid
Design,Medium,50,Analytical,Graphic Designer,Bachelor,Hybrid
Healthcare,Medium,95,Extrovert,Nurse,Bachelor,Remote
Design,Low,53,Creative,UI/UX Designer,Bachelor,Onsite
Arts,High,92,Creative,Content Creator,High School,Remote
Healthcare,Medium,85,Analytical,Nurse,Bachelor,Onsite
Arts,Low,69,Creative,Content Creator,Master,Remote
Healthcare,High,97,Extrovert,Doctor,Master,Hybrid
Business,Low,78,Creative,Marketing Manager,High School,Onsite
Teaching,High,94,Introvert,Professor,High School,Remote
Design,Low,94,Creative,UI/UX Designer,High School,Onsite
Teaching,High,99,Introvert,Professor,Bachelor,Remote
Healthcare,High,58,Introvert,Nurse,Bachelor,Remote
Healthcare,Medium,92,Extrovert,Doctor,Master,Onsite
Coding,Medium,82,Analytical,Software Developer,High School,Onsite
Business,Medium,53,Analytical,Marketing Manager,Bachelor,Onsite
Arts,Low,70,Analytical,Content Creator,Bachelor,Onsite
Teaching,Medium,95,Analytical,Teacher,High School,Hybrid
Arts,High,65,Extrovert,Content Creator,High School,Onsite
Finance,Medium,80,Introvert,Financial Analyst,High School,Onsite
Finance,Low,54,Extrovert,Chartered Accountant,Master,Onsite
Design,High,78,Creative,UI/UX Designer,Bachelor,Onsite
Healthcare,High,86,Analytical,Nurse,Bachelor,Onsite
Business,Medium,90,Extrovert,Marketing Manager,High School,Remote
Healthcare,High,98,Extrovert,Doctor,Bachelor,Hybrid
Arts,Low,75,Introvert,Artist,High School,Hybrid
Finance,Medium,50,Introvert,Financial Analyst,Bachelor,Remote
Finance,High,85,Extrovert,Chartered Accountant,Bachelor,Onsite
Coding,Low,64,Extrovert,Software Developer,Bachelor,Remote
Coding,High,75,Introvert,Software Developer,Bachelor,Onsite
Coding,High,96,Analytical,Data Scientist,High School,Hybrid
Business,High,69,Creative,Marketing Manager,Master,Remote
Business,Medium,53,Introvert,MBA,High School,Onsite
Healthcare,Medium,56,Introvert,Nurse,Master,Onsite
Teaching,High,58,Extrovert,Teacher,Master,Onsite
Design,High,95,Introvert,Graphic Designer,Master,Onsite
Business,Low,85,Introvert,Marketing Manager,High School,Hybrid
Teaching,Low,64,Introvert,Teacher,Bachelor,Hybrid
Arts,Low,69,Creative,Content Creator,Bachelor,Remote
Coding,High,54,Creative,Data Scientist,Bachelor,Hybrid
Design,High,52,Introvert,Graphic Designer,High School,Hybrid
Design,Low,83,Analytical,UI/UX Designer,High School,Onsite
Design,Low,66,Extrovert,UI/UX Designer,Bachelor,Remote
Business,Medium,53,Introvert,Marketing Manager,High School,Onsite
Teaching,Low,51,Extrovert,Teacher,Bachelor,Onsite
Arts,Low,90,Analytical,Artist,Master,Hybrid
Finance,Low,82,Creative,Financial Analyst,Bachelor,Remote
Coding,Low,94,Analytical,Software Developer,Master,Hybrid
Business,High,79,Creative,MBA,Master,Remote
Healthcare,Medium,71,Analytical,Nurse,Master,Hybrid
Teaching,High,52,Introvert,Professor,Bachelor,Hybrid
Design,Low,55,Creative,Graphic Designer,Bachelor,Remote
Finance,Low,65,Analytical,Chartered Accountant,Master,Onsite
Coding,Medium,72,Creative,Data Scientist,Bachelor,Hybrid
Finance,Low,90,Creative,Chartered Accountant,High School,Hybrid
Healthcare,Low,60,Analytical,Doctor,Bachelor,Hybrid
Finance,High,67,Creative,Financial Analyst,Bachelor,Remote
Coding,High,82,Extrovert,Software Developer,High School,Remote
Business,Medium,89,Analytical,MBA,High School,Onsite
Teaching,High,56,Extrovert,Teacher,Master,Remote
